,BaciaCodigo,SubBaciaCodigo,RioCodigo
9046,5,55,
9050,5,55,
9053,5,55,
9054,5,55,
9055,5,55,
9071,5,55,
9072,5,55,
9073,5,55,
9074,5,55,
9075,5,55,
9081,5,55,
9082,5,55,
9085,5,55,
9091,5,55,
9093,5,55,
9096,5,55,
9098,5,55,
9101,5,55,
9102,5,55,
9103,5,55,
9104,5,55,
9109,5,55,
9110,5,55,
9111,5,55,
9113,5,55,
9114,5,55,
9115,5,55,
9116,5,55,
9117,5,55,
9119,5,56,
9120,5,55,
9121,5,55,
9123,5,55,
9126,5,55,
9127,5,55,
9128,5,55,
9129,5,55,
9130,5,55,
9131,5,55,
9135,5,54,
9138,5,54,
9139,5,54,
9140,5,56,
9143,5,54,
9144,5,54,
9145,5,54,
9146,5,56,
9148,5,56,
9150,5,54,
9152,5,54,
9153,5,54,
9154,5,54,
9157,5,56,
9158,5,54,
9159,5,54,
9160,5,54,
9162,5,56,
9164,5,54,
9178,5,54,
9182,5,54,
9535,5,55,
9536,5,55,
9537,5,55,
9538,5,55,
9539,5,55,
9540,5,55,
9541,5,55,
9542,5,55,
9543,5,55,
9544,5,55,
9545,5,55,
9546,5,55,
9547,5,55,
9548,5,55,
9549,5,55,
9550,5,55,
9551,5,55,
9552,5,55,
9553,5,55,
9554,5,55,
9555,5,56,
9556,5,55,
9557,5,55,
9558,5,55,
9559,5,55,
9560,5,55,
9561,5,55,
9562,5,55,
9563,5,55,
9564,5,55,
9565,5,55,
9566,5,55,
9567,5,55,
9568,5,55,
9569,5,55,
9570,5,55,
9571,5,55,
9572,5,55,
9573,5,55,
9574,5,55,
9575,5,55,
9576,5,55,
9577,5,55,
9578,5,55,
9579,5,55,
9580,5,55,
9581,5,55,
9582,5,56,
9583,5,55,
9584,5,55,
9585,5,55,
9586,5,55,
9587,5,55,
9588,5,57,
9589,5,57,
9590,5,57,
9591,5,55,
9592,5,55,
9593,5,55,
9594,5,55,
9595,5,55,
9596,5,55,
9597,5,55,
9598,5,55,
9599,5,55,
9600,5,55,
9601,5,55,
9602,5,55,
9603,5,56,
9604,5,56,
9605,5,56,
9606,5,56,
9607,5,56,
9608,5,55,
9609,5,55,
9610,5,55,
9611,5,55,
9612,5,55,
9613,5,56,
9614,5,55,
9615,5,55,
9616,5,56,
9617,5,56,
9618,5,55,
9619,5,56,
9620,5,56,
9621,5,55,
9622,5,56,
9623,5,56,
9624,5,55,
9625,5,55,
9626,5,55,
9627,5,55,
9628,5,56,
9629,5,56,
9630,5,56,
9631,5,56,
9632,5,56,
9633,5,56,
9634,5,56,
9635,5,56,
9636,5,56,
9637,5,56,
9638,5,56,
9639,5,55,
9640,5,55,
9641,5,56,
9642,5,56,
9643,5,56,
9645,5,56,
9647,5,56,
9652,5,56,
9655,5,56,
9656,5,56,
9671,5,56,
10007,5,56,
10008,5,56,
10009,5,56,
10010,5,56,
10011,5,56,
10012,5,56,
10013,5,56,
10014,5,56,
10015,5,56,
10016,5,57,
10017,5,57,
10018,5,56,
10019,5,56,
10020,5,56,
10021,5,57,
10022,5,56,
10023,5,56,
10024,5,57,
10025,5,56,
10026,5,56,
10027,5,56,
10028,5,56,
10029,5,56,
10030,5,56,
10031,5,57,
10032,5,56,
10033,5,56,
10034,5,57,
10035,5,57,
10036,5,56,
10037,5,56,
10038,5,56,
10039,5,56,
10040,5,56,
10041,5,57,
10042,5,56,
10043,5,56,
10044,5,56,
10045,5,56,
10046,5,56,
10047,5,56,
10048,5,56,
10049,5,56,
10050,5,57,
10051,5,56,
10052,5,56,
10053,5,57,
10054,5,56,
10055,5,56,
10056,5,56,
10057,5,56,
10058,5,56,
10059,5,56,
10060,5,56,
10061,5,56,
10062,5,56,
10063,5,57,
10064,5,57,
10065,5,57,
10066,5,57,
10067,5,57,
10068,5,57,
10069,5,57,
10070,5,57,
10071,5,57,
10072,5,57,
10073,5,56,
10074,5,56,
10075,5,56,
10076,5,56,
10077,5,56,
10078,5,56,
10079,5,57,
10080,5,56,
10081,5,57,
10082,5,57,
10083,5,56,
10084,5,56,
10085,5,57,
10086,5,56,
10087,5,56,
10088,5,57,
10089,5,56,
10090,5,56,
10091,5,56,
10092,5,56,
10095,5,56,
10096,5,56,
10097,5,56,
10098,5,56,
10099,5,56,
10101,5,56,
10102,5,56,
10103,5,56,
10105,5,56,
10107,5,56,
10108,5,56,
10109,5,56,
10110,5,56,
10113,5,56,
10116,5,56,
10118,5,56,
10121,5,56,
10125,5,56,
10127,5,56,
10129,5,56,
10130,5,56,
10134,5,56,
10135,5,56,
10136,5,56,
10773,5,57,
10774,5,57,
10776,5,57,
10777,5,57,
10780,5,57,
10781,5,57,
10783,5,57,
10785,5,57,
10787,5,57,
10788,5,57,
10789,5,57,
10791,5,57,
10792,5,57,
10794,5,57,
10795,5,57,
10796,5,57,
10797,5,57,
10798,5,57,
10799,5,57,
10800,5,57,
10801,5,57,
10803,5,57,
10804,5,57,
10805,5,57,
10807,5,57,
10808,5,57,
10809,5,57,
10810,5,57,
10811,5,56,
10813,5,57,
10814,5,57,
10815,5,57,
10816,5,57,
10817,5,57,
10818,5,57,
10819,5,57,
10821,5,57,
10822,5,57,
10823,5,57,
10824,5,57,
10825,5,57,
10828,5,57,
10830,5,57,
10831,5,57,
10832,5,57,
10833,5,57,
10834,5,57,
10835,5,57,
10836,5,57,
10837,5,57,
10838,5,57,
10839,5,57,
10840,5,57,
10841,5,57,
10842,5,57,
10843,5,57,
10844,5,57,
10845,5,57,
10846,5,57,
10847,5,57,
10848,5,57,
10849,5,57,
10850,5,57,
10851,5,57,
10852,5,57,
10853,5,57,
10854,5,57,
10855,5,57,
10856,5,57,
10857,5,57,
10858,5,57,
10859,5,57,
10860,5,57,
10861,5,57,
10862,5,57,
10863,5,57,
10864,5,57,
10865,5,57,
10866,5,57,
10867,5,57,
10868,5,57,
10869,5,57,
10870,5,57,
10871,5,57,
10872,5,57,
10873,5,57,
10874,5,57,
10875,5,57,
10876,5,57,
10877,5,57,
10878,5,57,
10879,5,57,
10880,5,57,
10881,5,57,
10882,5,57,
10883,5,57,
10884,5,57,
10885,5,57,
10886,5,57,
10887,5,57,
10888,5,57,
10889,5,57,
10890,5,57,
10914,5,56,
10975,5,56,
10976,5,56,
10978,5,56,
10980,5,56,
10981,5,56,
27773,5,54,54001000.0
27774,5,54,54001000.0
27775,5,54,54001000.0
27776,5,54,54001000.0
27778,5,54,54001000.0
27820,5,54,54200000.0
27822,5,54,54220100.0
27823,5,54,54220100.0
27824,5,54,54200000.0
27825,5,54,54200000.0
27826,5,54,54200000.0
27827,5,54,54200000.0
27828,5,54,54200000.0
27837,5,54,54260000.0
27838,5,54,54260000.0
27939,5,55,55325000.0
27957,5,55,55420010.0
27961,5,55,55457000.0
27968,5,55,55230000.0
27969,5,55,55230000.0
27976,5,55,55310000.0
27977,5,55,55310000.0
27978,5,55,55310000.0
27979,5,55,55310000.0
27980,5,55,55310000.0
27982,5,55,55311000.0
27983,5,55,55311000.0
27985,5,55,55311000.0
27986,5,55,55310000.0
27987,5,55,55310000.0
27988,5,55,55310000.0
27989,5,55,55310000.0
27990,5,55,55310000.0
27991,5,55,55310000.0
27992,5,55,55310000.0
27993,5,55,55312000.0
27994,5,55,55312000.0
27995,5,55,55312000.0
27996,5,55,55312000.0
27997,5,55,55313100.0
27998,5,55,55312000.0
27999,5,55,55312000.0
28000,5,55,55312000.0
28001,5,55,55310000.0
28002,5,55,55310000.0
28003,5,55,55310000.0
28004,5,55,55310000.0
28006,5,55,55314000.0
28007,5,55,55314000.0
28008,5,55,55314000.0
28009,5,55,55310000.0
28010,5,55,55310000.0
28011,5,55,55310000.0
28012,5,55,55310000.0
28013,5,55,55310000.0
28014,5,55,55238000.0
28015,5,55,55310000.0
28016,5,55,55310000.0
28017,5,55,55310000.0
28018,5,55,55320300.0
28019,5,55,55310000.0
28020,5,55,55310000.0
28021,5,55,55319500.0
28022,5,55,55320000.0
28023,5,55,55320000.0
28024,5,55,55320000.0
28025,5,55,55320000.0
28026,5,55,55320000.0
28027,5,55,55320000.0
28028,5,55,55320000.0
28029,5,55,55325000.0
28030,5,55,55320000.0
28031,5,55,55320000.0
28032,5,55,55320000.0
28033,5,55,55320000.0
28034,5,55,55420000.0
28035,5,55,55420000.0
28036,5,55,55420000.0
28037,5,55,55430000.0
28038,5,55,55456000.0
28039,5,55,55420000.0
28040,5,55,55420000.0
28041,5,55,55420000.0
28042,5,55,55420000.0
28043,5,55,55400000.0
28044,5,55,55460000.0
28045,5,55,55460000.0
28046,5,55,55460000.0
28047,5,55,55460000.0
28048,5,55,55460000.0
28049,5,55,55460000.0
28050,5,55,55460000.0
28051,5,55,55460100.0
28052,5,55,55460100.0
28053,5,55,55460000.0
28054,5,55,55400000.0
28055,5,55,55460000.0
28056,5,55,55460000.0
28057,5,55,55460000.0
28058,5,55,55460000.0
28059,5,55,55460000.0
28060,5,55,55400000.0
28061,5,55,55400000.0
28062,5,55,55400000.0
28063,5,55,55400000.0
28064,5,55,55400000.0
28065,5,55,55470000.0
28066,5,55,55470000.0
28067,5,55,55470000.0
28068,5,55,55470000.0
28069,5,55,55470100.0
28070,5,55,55480000.0
28071,5,55,55480100.0
28072,5,55,55480200.0
28073,5,55,55470200.0
28160,5,56,56001000.0
28161,5,56,56001000.0
28197,5,56,56001000.0
28198,5,56,56001000.0
28199,5,56,56001000.0
28200,5,56,56001000.0
28201,5,56,56001000.0
28202,5,56,56001000.0
28203,5,56,56001000.0
28210,5,56,56400000.0
28240,5,56,56543000.0
28247,5,56,56570000.0
28248,5,56,56570000.0
28249,5,56,56570000.0
28250,5,56,56575010.0
28252,5,56,56575015.0
28253,5,56,56575015.0
28254,5,56,56575020.0
28255,5,56,56575020.0
28256,5,56,56575025.0
28257,5,56,56575001.0
28258,5,56,56575001.0
28259,5,56,56575001.0
28260,5,56,56575010.0
28261,5,56,56575010.0
28433,5,56,56350000.0
28438,5,56,56350000.0
28439,5,56,56001000.0
28440,5,56,56001000.0
28441,5,56,56001000.0
28442,5,56,56470000.0
28446,5,56,56400000.0
28447,5,56,56460000.0
28448,5,56,56470000.0
28449,5,56,56400000.0
28450,5,56,56432000.0
28451,5,56,56460000.0
28452,5,56,56400000.0
28453,5,56,56400000.0
28454,5,56,56400000.0
28455,5,56,56400000.0
28456,5,56,56400000.0
28457,5,56,56400000.0
28458,5,56,56400000.0
28459,5,56,56400000.0
28460,5,56,56400000.0
28461,5,56,56400000.0
28462,5,56,56400000.0
28463,5,56,56474000.0
28464,5,56,56474000.0
28465,5,56,56470000.0
28466,5,56,56470000.0
28467,5,56,56521000.0
28468,5,56,56001000.0
28469,5,56,56001000.0
28470,5,56,56001000.0
28471,5,56,56522000.0
28491,5,56,56523000.0
28493,5,56,56523000.0
28494,5,56,56520000.0
28495,5,56,56520000.0
28496,5,56,56520000.0
28497,5,56,56001000.0
28498,5,56,56001000.0
28499,5,56,56524000.0
28500,5,56,56523500.0
28501,5,56,56525000.0
28502,5,56,56001000.0
28503,5,56,56001000.0
28504,5,56,56001000.0
28530,5,56,56534000.0
28534,5,56,56530000.0
28535,5,56,56530000.0
28536,5,56,56530000.0
28553,5,56,56534000.0
28554,5,56,56534000.0
28555,5,56,56534000.0
28556,5,56,56530000.0
28557,5,56,56530000.0
28558,5,56,56530000.0
28559,5,56,56530000.0
28560,5,56,56530000.0
28561,5,56,56535000.0
28562,5,56,56001000.0
28563,5,56,56001000.0
28564,5,56,56001000.0
28565,5,56,56001000.0
28566,5,56,56001000.0
28567,5,56,56001000.0
28568,5,56,56001000.0
28569,5,56,56540000.0
28570,5,56,56540000.0
28571,5,56,56540000.0
28572,5,56,56540000.0
28573,5,56,56540000.0
28574,5,56,56540000.0
28575,5,56,56001000.0
28576,5,56,56540000.0
28577,5,56,56540000.0
28578,5,56,56540000.0
28579,5,56,56540000.0
28580,5,56,56540000.0
28581,5,56,56540000.0
28582,5,56,56540000.0
28583,5,56,56540000.0
28584,5,56,56001000.0
28585,5,56,56001000.0
28586,5,56,56001000.0
28587,5,56,56542000.0
28588,5,56,56542000.0
28589,5,56,56550000.0
28590,5,56,56550000.0
28591,5,56,56550000.0
28592,5,56,56550000.0
28593,5,56,56550000.0
28594,5,56,56550000.0
28595,5,56,56540000.0
28596,5,56,56550000.0
28597,5,56,56550000.0
28598,5,56,56550000.0
28599,5,56,56560600.0
28600,5,56,56561000.0
28601,5,56,56561000.0
28602,5,56,56561000.0
28603,5,56,56001000.0
28604,5,56,56001000.0
28605,5,56,56001000.0
28606,5,56,56001000.0
28607,5,56,56001000.0
28608,5,56,56001000.0
28609,5,56,56001000.0
28610,5,56,56564000.0
28611,5,56,56564800.0
28612,5,56,56564000.0
28613,5,56,56564000.0
28614,5,56,56564000.0
28615,5,56,56564000.0
28616,5,56,56575000.0
28617,5,56,56575000.0
28618,5,56,56575000.0
28619,5,56,56575000.0
28620,5,56,56575000.0
28621,5,56,56575000.0
28622,5,56,56575000.0
28623,5,56,56575000.0
28624,5,56,56575000.0
28625,5,56,56575000.0
28626,5,56,56575000.0
28627,5,56,56001000.0
28628,5,56,56001000.0
28629,5,56,56001000.0
28630,5,56,56001000.0
28631,5,56,56001000.0
28632,5,56,56575000.0
28633,5,56,56001000.0
28634,5,56,56001000.0
28635,5,56,56001000.0
28636,5,56,56576000.0
28637,5,57,57140000.0
28638,5,57,57140000.0
28639,5,57,57140000.0
28640,5,57,57100000.0
28641,5,57,57100000.0
28642,5,57,57100000.0
28643,5,57,57100000.0
28644,5,57,57100000.0
28645,5,57,57100000.0
28646,5,57,57100000.0
28647,5,57,57100000.0
28648,5,57,57100000.0
28649,5,57,57100000.0
28650,5,57,57100000.0
28651,5,57,57100000.0
28652,5,57,57150000.0
28653,5,57,57100000.0
28654,5,57,57200000.0
28655,5,57,57100820.0
28656,5,57,57200000.0
28657,5,57,57200000.0
28658,5,57,57200000.0
28659,5,57,57200000.0
28660,5,57,57200000.0
28661,5,57,57200000.0
28662,5,57,57200000.0
28663,5,57,57200000.0
28664,5,57,57200000.0
28665,5,57,57200000.0
28666,5,57,57200000.0
28667,5,57,57200000.0
28668,5,57,57200000.0
28669,5,57,57200000.0
28670,5,57,57230000.0
28671,5,57,57600000.0
28672,5,57,57600000.0
28673,5,57,57355550.0
28674,5,57,57355550.0
28675,5,57,57590000.0
28676,5,57,57590000.0
28677,5,57,57590000.0
28678,5,57,57200000.0
28679,5,57,57170000.0
28680,5,57,27310000.0
28681,5,57,57310000.0
28682,5,57,57240000.0
28683,5,57,57240000.0
28684,5,57,57240000.0
28685,5,57,57240000.0
28686,5,57,57315000.0
28687,5,57,57580000.0
28688,5,57,57580000.0
28689,5,57,57320000.0
28690,5,57,57320000.0
28691,5,57,57320000.0
28692,5,57,57324000.0
28693,5,57,57320000.0
28694,5,57,57320000.0
28695,5,57,57320000.0
28696,5,57,57320000.0
28697,5,57,57320000.0
28698,5,57,57340000.0
28699,5,57,57340000.0
28700,5,57,57340000.0
28701,5,57,57340000.0
28702,5,57,57340000.0
28703,5,57,57340000.0
28704,5,57,57300000.0
28705,5,57,57300000.0
28706,5,57,57300000.0
28707,5,57,57347000.0
28708,5,57,57300000.0
28709,5,57,57300000.0
28710,5,57,57300000.0
28711,5,57,57300000.0
28712,5,57,57300000.0
28713,5,57,57300000.0
28714,5,57,57349000.0
28715,5,57,57349000.0
28716,5,57,57349000.0
28717,5,57,57349000.0
28718,5,57,57349000.0
28719,5,57,57349000.0
28720,5,57,57354000.0
28721,5,57,57354000.0
28722,5,57,57354000.0
28723,5,57,57354000.0
28724,5,57,57355000.0
28725,5,57,57355500.0
28726,5,57,57355500.0
28727,5,57,57207000.0
28728,5,57,57355500.0
28729,5,57,57355500.0
28736,5,57,57360000.0
28737,5,57,57360000.0
28738,5,57,57360000.0
28751,5,57,57348000.0
